payment_id,player_id,payment_date,amount,method,season_id
1,1,2028-10-21 08:30:37,50,cash,38
2,2,2027-08-19 04:15:25,100,cash,29
3,3,2027-10-23 04:32:10,75,card,30
4,4,2027-02-25 04:29:49,75,card,25
5,5,2026-01-22 22:40:55,75,venmo,15
6,6,2026-01-09 00:12:24,100,cash,15
7,7,2025-01-06 06:47:43,75,card,7
8,8,2027-10-14 21:10:22,75,cash,30
9,9,2029-01-19 18:53:58,75,venmo,39
10,10,2028-08-10 17:53:11,75,venmo,36
11,11,2028-04-12 11:32:31,50,venmo,34
12,12,2025-01-27 19:19:23,75,cash,8
13,13,2024-12-30 06:19:59,100,cash,7
14,14,2025-12-19 05:28:21,50,venmo,15
15,15,2029-03-19 08:14:14,75,venmo,40
16,16,2026-09-26 17:51:58,100,cash,21
17,17,2024-12-22 22:53:26,100,venmo,7
18,18,2025-12-14 17:36:26,50,cash,15
19,19,2027-10-15 04:15:43,50,card,30
20,20,2026-01-08 18:17:51,100,cash,15
21,21,2025-09-27 18:08:00,75,venmo,13
22,22,2025-09-11 09:28:13,75,card,13
23,23,2028-04-24 01:47:08,50,venmo,35
24,24,2028-09-03 14:25:46,100,cash,37
25,25,2027-01-16 22:53:17,100,cash,23
26,26,2028-02-16 04:01:30,50,card,32
27,27,2025-05-29 15:18:45,50,venmo,11
28,28,2028-07-27 21:36:03,100,card,36
29,29,2025-01-11 11:13:01,75,venmo,9
30,30,2028-01-30 11:54:47,100,cash,32
31,31,2024-06-09 22:07:41,75,cash,3
32,32,2026-02-22 13:40:43,75,cash,16
33,33,2028-03-12 10:03:27,50,venmo,34
34,34,2028-06-15 18:20:17,100,cash,35
35,35,2028-06-30 03:43:09,50,card,36
36,36,2028-05-24 07:02:27,100,cash,35
37,37,2024-11-20 15:39:38,50,cash,6
38,38,2027-11-14 12:16:45,50,cash,30
39,39,2027-12-01 23:15:31,50,cash,30
40,40,2026-05-06 14:48:16,100,venmo,19
41,41,2024-03-20 06:11:41,50,venmo,2
42,42,2028-05-18 00:29:35,75,venmo,35
43,43,2025-10-28 18:15:14,75,venmo,14
44,44,2028-09-13 04:11:53,50,cash,37
45,45,2024-10-09 06:12:10,50,card,6
46,46,2027-06-02 00:46:43,100,venmo,27
47,47,2025-03-23 17:24:55,100,cash,10
48,48,2025-03-15 22:45:32,75,venmo,8
49,49,2024-01-11 00:57:29,100,cash,1
50,50,2025-05-05 02:23:52,100,venmo,11
51,51,2026-10-25 11:45:31,100,venmo,22
52,52,2026-05-26 08:36:23,75,card,19
53,53,2026-05-05 12:03:45,100,card,19
54,54,2026-03-23 03:49:36,100,venmo,16
55,55,2028-05-06 20:15:28,100,cash,35
56,56,2026-07-04 11:01:51,75,venmo,20
57,57,2026-07-18 21:26:10,75,card,20
58,58,2027-10-29 10:03:30,75,cash,30
59,59,2025-01-28 11:18:45,50,venmo,9
60,60,2024-04-14 20:53:46,75,card,2
61,61,2028-03-23 11:53:45,100,venmo,34
62,62,2028-07-21 23:13:23,75,cash,36
63,63,2027-02-05 04:47:22,50,venmo,25
64,64,2028-10-03 14:02:38,50,venmo,37
65,65,2026-01-03 12:40:12,75,venmo,15
66,66,2028-12-30 23:04:54,75,card,39
